D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\Locker 2.dwg,Modelo,22/12/2021 17:56:06,ITO,Nitro PDF Creator,A3,1:0.061953,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\Locker 2.dwg,Modelo,12/04/2022 11:26:23,ITO,ECOSYS P2040dw,Tamaño definido por el usuario,1:0.0289562,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa docente D-09.dwg,Presentación1,18/07/2022 10:03:53,ITO,Kyocera ECOSYS P2040dw,Carta,1:1,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa docente D-09.dwg,Modelo,18/07/2022 10:04:48,ITO,Kyocera ECOSYS P2040dw,A4,1:0.015029,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-03.dwg,Modelo,18/07/2022 10:14:02,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0184272,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-04.dwg,Modelo,18/07/2022 10:16:29,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0186964,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-05.dwg,Modelo,18/07/2022 16:33:59,ITO,Kyocera ECOSYS P2040dw,A4,1:0.018312,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-06.dwg,Modelo,18/07/2022 16:36:17,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0183893,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-07.dwg,Modelo,18/07/2022 16:37:59,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0186565,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-08.dwg,Modelo,18/07/2022 16:39:08,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0186565,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla docente D-12.dwg,Modelo,18/07/2022 16:40:02,ITO,Kyocera ECOSYS P2040dw,Carta,1:0.587362,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla docente D-12.dwg,Modelo,18/07/2022 16:45:42,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217154,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla primaria D-13.dwg,Modelo,18/07/2022 16:46:37,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217201,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla primaria D-14.dwg,Modelo,18/07/2022 16:47:47,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217201,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-15 - S.dwg,Modelo,18/07/2022 16:48:43,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-15.dwg,Modelo,18/07/2022 16:49:44,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-16.dwg,Modelo,18/07/2022 16:50:42,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-17.dwg,Modelo,18/07/2022 16:51:31,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa docente D-09.dwg,Modelo,20/07/2022 20:39:28,ITO,Kyocera ECOSYS P2040dw,A4,1:0.015029,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-03.dwg,Modelo,20/07/2022 20:40:34,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0184422,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-04.dwg,Modelo,20/07/2022 20:41:45,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0186964,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-05.dwg,Modelo,20/07/2022 20:42:55,ITO,Kyocera ECOSYS P2040dw,A4,1:0.018312,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-06.dwg,Modelo,20/07/2022 20:44:05,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0183893,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-07.dwg,Modelo,20/07/2022 20:44:58,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0186565,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-08.dwg,Modelo,20/07/2022 20:45:57,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0186565,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla docente D-12.dwg,Modelo,20/07/2022 20:46:58,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217154,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla primaria D-13.dwg,Modelo,20/07/2022 20:47:56,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217201,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla primaria D-14.dwg,Modelo,20/07/2022 20:48:53,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217201,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-15 - S.dwg,Modelo,20/07/2022 20:49:55,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-15.dwg,Modelo,20/07/2022 20:51:02,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-16.dwg,Modelo,20/07/2022 20:52:02,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-16.dwg,Modelo,20/07/2022 20:53:16,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-17.dwg,Modelo,20/07/2022 20:55:41,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
